Temperature,Luminosity,Radius,Star_type,Star_color
3749,550000,1648,HyperGiant,Orange
3650,310000,1324,HyperGiant,Red
3450,263000,1349,HyperGiant,Red
3660,363000,1673,HyperGiant,Red
3450,174000,1284,HyperGiant,Red
3752,209000,955,HyperGiant,Red
3535,195000,1546,HyperGiant,Red
3341,0.0056,0.057,Brown Dwarf,Red
3432,0.00067,0.19,Brown Dwarf,Red
2983,0.00024,0.094,Brown Dwarf,Red
2835,0.00034,0.0918,Brown Dwarf,Red
2935,0.00014,0.116,Brown Dwarf,Red
3295,0.00098,0.132,Brown Dwarf,Red
2945,0.00032,0.093,Brown Dwarf,Red
2817,0.00098,0.0911,Brown Dwarf,Red
2774,0.00036,0.118,Brown Dwarf,Red
2871,0.00072,0.12,Brown Dwarf,Red
3345,0.021,0.273,Red Dwarf,Red
3607,0.022,0.38,Red Dwarf,Red
3304,0.0085,0.18,Red Dwarf,Red
3150,0.0088,0.35,Red Dwarf,Red
3550,0.004,0.291,Red Dwarf,Red
3180,0.001,0.35,Red Dwarf,Red
2890,0.0034,0.24,Red Dwarf,Red
3342,0.0015,0.307,Red Dwarf,Red
2621,0.0006,0.098,Red Dwarf,Red
3158,0.00135,0.161,Red Dwarf,Red
7100,0.00029,0.012,White Dwarf,White-Yellow
10574,0.00014,0.0092,White Dwarf,White
8930,0.00056,0.0095,White Dwarf,white
17200,0.00098,0.015,White Dwarf,Blue White
14100,0.00067,0.0089,White Dwarf,Blue White
9675,0.00045,0.0109,White Dwarf,Blue White
12010,0.00078,0.0092,White Dwarf,Blue White
10980,0.00074,0.0087,White Dwarf,Blue White
13720,0.00018,0.00892,White Dwarf,white
19860,0.0011,0.0131,White Dwarf,Blue 
5300,0.59,0.91,Main Sequence,yellow-white
4526,0.153,0.865,Main Sequence,yellowish
4077,0.085,0.795,Main Sequence,yellowish
4980,0.357,1.13,Main Sequence,Yellowish
9030,45,2.63,Main Sequence,Blue-white
11250,672,6.98,Main Sequence,Blue-white
5112,0.63,0.876,Main Sequence,Orange-Red
7720,7.92,1.34,Main Sequence,yellow-white
12098,689,7.01,Main Sequence,Blue-white
36108,198000,10.2,Main Sequence,Blue
33300,240000,12,SuperGiant,Blue
40000,813000,14,SuperGiant,Blue
23000,127000,36,SuperGiant,Blue
17120,235000,83,SuperGiant,Blue
11096,112000,12,SuperGiant,Blue
14245,231000,42,SuperGiant,Blue
24630,363000,63,SuperGiant,Blue
12893,184000,36,SuperGiant,Blue
24345,142000,57,SuperGiant,Blue
33421,352000,67,SuperGiant,Blue
3459,100000,1289,HyperGiant,Red
3605,126000,1124,HyperGiant,Red
3615,200000,1635,HyperGiant,Red
3399,117000,1486,HyperGiant,Red
3610,132000,1522,HyperGiant,Red
3553,145000,1324,HyperGiant,Red
4015,282000,1534,HyperGiant,Red
3625,74000,876,HyperGiant,Red
6850,229000,1467,HyperGiant,Red
3780,200000,1324,HyperGiant,Red
3323,0.00043,0.0912,Brown Dwarf,Red
3531,0.00093,0.0976,Brown Dwarf,Red
3218,0.00054,0.11,Brown Dwarf,Red
3146,0.00015,0.0932,Brown Dwarf,Red
3511,0.00064,0.109,Brown Dwarf,Red
3225,0.00076,0.121,Brown Dwarf,Red
2935,0.00087,0.0932,Brown Dwarf,Red
2861,0.00019,0.0899,Brown Dwarf,Red
2856,0.000896,0.0782,Brown Dwarf,Red
2731,0.000437,0.0856,Brown Dwarf,Red
3095,0.00019,0.492,Red Dwarf,Red
3607,0.00023,0.38,Red Dwarf,Red
3100,0.008,0.31,Red Dwarf,Red
2989,0.0087,0.34,Red Dwarf,Red
3542,0.0009,0.62,Red Dwarf,Red
3243,0.0023,0.73,Red Dwarf,Red
3091,0.0081,0.24,Red Dwarf,Red
3598,0.0011,0.56,Red Dwarf,Red
3324,0.0034,0.34,Red Dwarf,Red
3541,0.0013,0.256,Red Dwarf,Red
13420,0.00059,0.00981,White Dwarf,Blue White
21020,0.0015,0.0112,White Dwarf,Blue
18290,0.0013,0.00934,White Dwarf,Blue
14520,0.00082,0.00972,White Dwarf,Blue White
11900,0.00067,0.00898,White Dwarf,Blue white 
8924,0.00028,0.00879,White Dwarf,Blue white
12912,0.00071,0.00945,White Dwarf,Blue white
14732,0.00011,0.00892,White Dwarf,white
7723,0.00014,0.00878,White Dwarf,White
12984,0.00088,0.00996,White Dwarf,Blue White
29560,188000,6.02,Main Sequence,Blue-white
8945,38,2.487,Main Sequence,Blue-White
14060,1092,5.745,Main Sequence,Blue-white
16390,1278,5.68,Main Sequence,Blue-white
25070,14500,5.92,Main Sequence,Blue-white
28700,16790,6.4,Main Sequence,Blue-white
26140,14520,5.49,Main Sequence,Blue-white
20120,4720,6.78,Main Sequence,Blue-white
13023,998,6.21,Main Sequence,Blue-white
37800,202900,6.86,Main Sequence,Blue
25390,223000,57,SuperGiant,Blue
11567,251000,36,SuperGiant,Blue
12675,452000,83,SuperGiant,Blue
5752,245000,97,SuperGiant,Blue
8927,239000,35,SuperGiant,Blue
7282,131000,24,SuperGiant,Blue
19923,152000,73,SuperGiant,Blue
26373,198000,39,SuperGiant,Blue
17383,342900,30,SuperGiant,Blue
9373,424520,24,SuperGiant,Blue
3570,320000,1480,HyperGiant,Red
3500,138000,1420,HyperGiant,Red
4287,630000,1315,HyperGiant,Orange
26000,316000,1679,HyperGiant,Blue
3600,240000,1190,HyperGiant,Red
3614,145000,1553,HyperGiant,Red
18000,200000,1045,HyperGiant,Blue
11000,170000,1779,HyperGiant,Blue-white
12100,120000,708.9,HyperGiant,Blue-white
24490,248490,1134.5,HyperGiant,Blue-white
2831,0.000231,0.0915,Brown Dwarf,Red
2914,0.000631,0.116,Brown Dwarf,Red
3419,0.000245,0.126,Brown Dwarf,Red
3218,0.000452,0.0987,Brown Dwarf,Red
3453,0.000621,0.0773,Brown Dwarf,Red
2889,0.000352,0.0973,Brown Dwarf,Red
2968,0.000461,0.119,Brown Dwarf,Red
3484,0.000551,0.0998,Brown Dwarf,Red
2778,0.000849,0.112,Brown Dwarf,Red
3523,0.000957,0.129,Brown Dwarf,Red
3462,0.0053,0.148,Red Dwarf,Red
3257,0.0024,0.46,Red Dwarf,Red
2994,0.0072,0.28,Red Dwarf,Red
3212,0.0016,0.378,Red Dwarf,Red
3523,0.0054,0.319,Red Dwarf,Red
3598,0.0027,0.67,Red Dwarf,Red
3142,0.00132,0.258,Red Dwarf,Red
3496,0.00125,0.336,Red Dwarf,Red
3324,0.0065,0.471,Red Dwarf,Red
3463,0.0027,0.675,Red Dwarf,Red
16790,0.0014,0.0121,White Dwarf,Blue
15680,0.00122,0.0114,White Dwarf,Blue
14982,0.00118,0.0113,White Dwarf,Blue
13340,0.00109,0.0116,White Dwarf,Blue
18340,0.00134,0.0124,White Dwarf,Blue
19920,0.00156,0.0142,White Dwarf,Blue
24020,0.00159,0.0127,White Dwarf,Blue
23092,0.00132,0.0104,White Dwarf,Blue
17920,0.00111,0.0106,White Dwarf,Blue
19360,0.00125,0.00998,White Dwarf,Blue
22350,12450,6.36,Main Sequence,Blue-white
10012,552,5.856,Main Sequence,Blue-white
13089,788,5.992,Main Sequence,Blue-white
22012,6748,6.64,Main Sequence,Blue-white
34190,198200,6.39,Main Sequence,Blue
32460,173800,6.237,Main Sequence,Blue
9320,29,1.91,Main Sequence,Blue-white
19400,10920,6.03,Main Sequence,Blue-white
17140,883,5.653,Main Sequence,Blue-white
8250,9.25,1.93,Main Sequence,yellow-white
23678,244290,35,SuperGiant,Blue
12749,332520,76,SuperGiant,Blue
9383,342940,98,SuperGiant,Blue
23440,537430,81,SuperGiant,Blue
16787,246730,62,SuperGiant,Blue
18734,224780,46,SuperGiant,Blue
9892,593900,80,SuperGiant,Blue
10930,783930,25,SuperGiant,Blue
23095,347820,86,SuperGiant,Blue
21738,748890,92,SuperGiant,Blue
24145,382993,1494,HyperGiant,Blue-white
38234,272830,1356,HyperGiant,Blue
32489,648430,1948.5,HyperGiant,Blue
27739,849420,1252,HyperGiant,Blue-white
21904,748490,1130,HyperGiant,Blue-white
38940,374830,1356,HyperGiant,Blue
30839,834042,1194,HyperGiant,Blue
8829,537493,1423,HyperGiant,White
9235,404940,1112,HyperGiant,White
37882,294903,1783,HyperGiant,Blue
